"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
-0.8,-1,9.5,-0.1,0.1,0.1,-6.6,0.5,-11.8
-0.8,-1,9.5,0,0.1,-0.1,-6.2,0.2,-12.2
-0.8,-1.1,9.5,-0.1,0.1,0,-6.2,0.2,-12.2
-0.8,-1,9.5,-0.1,-0.1,0,-6.6,0.9,-12.6
-0.8,-1.1,9.5,0.1,0.1,0,-6.6,0.9,-12.6
-0.8,-1,9.5,0.1,0,-0.1,-7,0.9,-11.8
-0.8,-1.1,9.5,-0.1,-0.1,0.1,-7,0.9,-11.8
-0.8,-1.1,9.5,0.1,0,-0.1,-5.9,0.9,-11
-0.8,-1.1,9.5,-0.1,0.1,0.1,-5.9,0.9,-11
-0.8,-1,9.5,0.1,-0.1,0.1,-7,1.6,-11.8
-0.8,-1,9.5,0,0,0,-7,1.6,-11.8
-0.8,-1.1,9.5,0.1,-0.1,-0.1,-6.6,1.2,-11.8
-0.8,-1,9.5,0.1,-0.1,0,-6.6,1.2,-11.8
-0.8,-1,9.5,0,-0.2,0.1,-6.2,1.2,-11.8
-0.8,-1,9.5,0,-0.2,0.1,-6.2,1.2,-11.8
-0.8,-1.1,9.5,0.1,0,-0.1,-7,0.9,-11.8
-0.8,-1.1,9.5,0.1,-0.1,-0.1,-7,0.9,-11.8
-0.8,-1,9.5,-0.1,-0.1,0.1,-6.6,0.5,-12.6
-0.8,-1.1,9.5,-0.1,-0.1,0.1,-6.6,0.5,-12.6
-0.8,-1.1,9.5,-0.1,0.1,0,-5.9,1.2,-12.6
-0.8,-1.1,9.5,-0.1,0.1,0.1,-5.9,1.2,-12.6
-0.8,-1,9.5,0.1,-0.1,0.2,-6.2,1.2,-11.8
-0.8,-1.1,9.5,0.1,-0.1,0,-6.2,1.2,-11.8
-0.8,-1,9.5,0.1,0,0,-5.9,0.2,-11.5
-0.8,-1,9.5,0,0.1,0,-5.9,0.2,-11.5
-0.8,-1,9.5,-0.1,-0.1,-0.1,-6.2,1.2,-11.5
-0.8,-1.1,9.5,0.1,0.1,0.1,-6.2,1.2,-11.5
-0.8,-1.1,9.5,-0.1,0.1,-0.1,-6.2,1.2,-11.5
-0.8,-1.1,9.5,-0.1,-0.1,-0.1,-6.6,0.5,-11.8
-0.8,-1.1,9.5,0.1,0,-0.1,-6.6,0.5,-11.8
-0.8,-1,9.5,-0.1,-0.1,0,-6.2,0.5,-11.8
-0.8,-1.1,9.5,0,0.1,-0.1,-6.2,0.5,-11.8
-0.8,-1.1,9.5,0.1,0.1,-0.1,-7,0.9,-11.5
-0.8,-1,9.5,-0.1,0.1,0,-7,0.9,-11.5
-0.8,-1.1,9.5,0,0.1,0.1,-7,0.5,-11.5
-0.8,-1.1,9.5,-0.1,0,0,-7,0.5,-11.5
