"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8"
1252,1289,1849,1107,1773,1819,1805,154
1254,1247,1855,1062,1790,1791,1828,188
1280,1244,1854,1120,1824,1887,1825,165
1239,1263,1872,1086,1808,1860,1829,174
1216,1270,1863,1091,1791,1876,1831,197
1212,1280,1856,1065,1783,1856,1840,187
1208,1281,1866,1112,1800,1868,1796,170
1209,1224,1856,1078,1823,1864,1823,184
1189,1248,1850,1056,1804,1888,1840,213
1195,1264,1849,1053,1781,1842,1797,171
1184,1212,1858,1071,1788,1839,1828,195
1168,1207,1859,1056,1787,1856,1843,164
1146,1212,1872,1068,1774,1847,1840,179
1137,1215,1846,1059,1791,1857,1892,188
1167,1179,1835,1026,1792,1831,1823,198
1144,1175,1849,1040,1802,1846,1858,200
1136,1180,1823,1026,1771,1823,1822,199
1155,1204,1820,1023,1791,1855,1848,196
1126,1193,1811,1004,1776,1888,1823,198
1148,1184,1865,988,1792,1857,1807,226
1120,1125,1823,997,1775,1808,1791,196
1096,1166,1851,984,1787,1823,1795,186
1100,1149,1840,1009,1793,1831,1832,202
1094,1191,1824,999,1787,1840,1852,182
1055,1151,1807,1008,1792,1833,1824,229
1079,1101,1819,975,1776,1872,1828,188
1079,1155,1844,1007,1779,1837,1831,200
1049,1152,1832,999,1796,1856,1868,204
1065,1103,1840,975,1781,1855,1825,181
1081,1128,1864,955,1791,1852,1840,200
1022,1106,1795,959,1791,1823,1848,185
1046,1112,1812,951,1816,1852,1822,195
1044,1115,1816,975,1786,1857,1828,223
1013,1091,1834,960,1800,1839,1853,211
1029,1081,1807,957,1771,1856,1824,198
1060,1057,1811,943,1810,1863,1824,211
1030,1067,1851,932,1808,1868,1807,214
1011,1061,1783,912,1800,1856,1825,195
1008,1027,1790,923,1799,1854,1821,179
965,1051,1820,952,1797,1849,1775,175
985,1038,1803,915,1807,1831,1814,202
984,1069,1849,932,1808,1880,1769,197
1012,1038,1824,892,1794,1860,1840,192
969,1023,1819,887,1804,1892,1817,184
975,1058,1775,886,1794,1856,1838,187
992,1023,1856,891,1796,1843,1789,203
963,1007,1816,896,1759,1829,1773,185
943,958,1787,872,1805,1856,1823,193
960,1036,1801,863,1778,1872,1841,201
942,1042,1804,892,1809,1839,1791,202
1252,1289,1849,1107,1773,1819,1805,154
1254,1247,1855,1062,1790,1791,1828,188
1280,1244,1854,1120,1824,1887,1825,165
1239,1263,1872,1086,1808,1860,1829,174
1216,1270,1863,1091,1791,1876,1831,197
1212,1280,1856,1065,1783,1856,1840,187
1208,1281,1866,1112,1800,1868,1796,170
1209,1224,1856,1078,1823,1864,1823,184
1189,1248,1850,1056,1804,1888,1840,213
1195,1264,1849,1053,1781,1842,1797,171
1184,1212,1858,1071,1788,1839,1828,195
1168,1207,1859,1056,1787,1856,1843,164
1146,1212,1872,1068,1774,1847,1840,179
1137,1215,1846,1059,1791,1857,1892,188
1167,1179,1835,1026,1792,1831,1823,198
1144,1175,1849,1040,1802,1846,1858,200
1136,1180,1823,1026,1771,1823,1822,199
1155,1204,1820,1023,1791,1855,1848,196
1126,1193,1811,1004,1776,1888,1823,198
1148,1184,1865,988,1792,1857,1807,226
1120,1125,1823,997,1775,1808,1791,196
1096,1166,1851,984,1787,1823,1795,186
1100,1149,1840,1009,1793,1831,1832,202
1094,1191,1824,999,1787,1840,1852,182
1055,1151,1807,1008,1792,1833,1824,229
1079,1101,1819,975,1776,1872,1828,188
1079,1155,1844,1007,1779,1837,1831,200
1049,1152,1832,999,1796,1856,1868,204
1065,1103,1840,975,1781,1855,1825,181
1081,1128,1864,955,1791,1852,1840,200
1022,1106,1795,959,1791,1823,1848,185
1046,1112,1812,951,1816,1852,1822,195
1044,1115,1816,975,1786,1857,1828,223
1013,1091,1834,960,1800,1839,1853,211
1029,1081,1807,957,1771,1856,1824,198
1060,1057,1811,943,1810,1863,1824,211
1030,1067,1851,932,1808,1868,1807,214
1011,1061,1783,912,1800,1856,1825,195
1008,1027,1790,923,1799,1854,1821,179
965,1051,1820,952,1797,1849,1775,175
985,1038,1803,915,1807,1831,1814,202
984,1069,1849,932,1808,1880,1769,197
1012,1038,1824,892,1794,1860,1840,192
969,1023,1819,887,1804,1892,1817,184
975,1058,1775,886,1794,1856,1838,187
992,1023,1856,891,1796,1843,1789,203
963,1007,1816,896,1759,1829,1773,185
943,958,1787,872,1805,1856,1823,193
960,1036,1801,863,1778,1872,1841,201
942,1042,1804,892,1809,1839,1791,202
927,975,1840,860,1796,1823,1842,201
903,979,1790,860,1783,1830,1828,199
917,988,1755,845,1780,1855,1815,206
901,962,1809,843,1766,1844,1807,206
898,946,1795,833,1800,1880,1815,192
903,974,1812,835,1783,1855,1828,206
899,941,1792,824,1785,1863,1840,192
908,975,1833,825,1804,1839,1830,206
847,923,1828,837,1793,1856,1841,203
882,972,1806,824,1792,1855,1821,221
870,958,1810,806,1794,1839,1815,192
864,952,1819,818,1808,1860,1815,173
864,950,1775,773,1798,1839,1828,173
876,927,1765,816,1824,1916,1828,194
840,941,1795,800,1792,1896,1824,177
849,918,1791,792,1782,1848,1801,191
855,932,1755,792,1789,1831,1836,189
856,907,1787,800,1792,1896,1801,194
837,898,1839,783,1776,1872,1807,199
852,895,1811,775,1800,1880,1807,198
792,894,1856,777,1792,1872,1807,198
821,894,1791,767,1796,1852,1833,206
817,928,1794,796,1792,1872,1836,215
799,902,1774,796,1792,1868,1801,219
818,914,1809,777,1791,1887,1832,188
811,910,1807,772,1792,1888,1817,176
776,896,1759,776,1806,1839,1838,187
810,847,1771,760,1793,1872,1830,157
805,880,1825,764,1780,1872,1803,198
787,872,1775,749,1793,1872,1821,199
815,880,1787,765,1791,1887,1824,199
793,880,1791,751,1780,1872,1833,204
807,900,1764,786,1804,1892,1813,179
792,894,1794,744,1789,1904,1832,215
803,876,1820,735,1783,1856,1811,200
785,866,1808,735,1780,1844,1835,206
777,854,1791,735,1792,1872,1807,202
775,850,1809,735,1776,1852,1823,202
779,856,1791,733,1782,1854,1801,191
761,856,1791,735,1780,1872,1807,198
784,856,1787,740,1792,1896,1801,194
773,856,1856,735,1792,1872,1817,199
771,875,1809,735,1790,1873,1835,186
800,843,1811,727,1792,1872,1807,198
763,848,1809,735,1792,1844,1837,206
768,848,1825,732,1780,1872,1821,199
743,894,1802,760,1792,1866,1839,197
784,843,1787,736,1792,1876,1801,196
788,835,1795,725,1792,1855,1821,198
765,867,1792,730,1824,1855,1838,203
719,857,1756,748,1779,1856,1838,193
903,979,1790,860,1783,1830,1828,199
917,988,1755,845,1780,1855,1815,206
901,962,1809,843,1766,1844,1807,206
898,946,1795,833,1800,1880,1815,192
903,974,1812,835,1783,1855,1828,206
899,941,1792,824,1785,1863,1840,192
908,975,1833,825,1804,1839,1830,206
847,923,1828,837,1793,1856,1841,203
882,972,1806,824,1792,1855,1821,221
870,958,1810,806,1794,1839,1815,192
864,952,1819,818,1808,1860,1815,173
864,950,1775,773,1798,1839,1828,173
876,927,1765,816,1824,1916,1828,194
840,941,1795,800,1792,1896,1824,177
849,918,1791,792,1782,1848,1801,191
855,932,1755,792,1789,1831,1836,189
856,907,1787,800,1792,1896,1801,194
837,898,1839,783,1776,1872,1807,199
852,895,1811,775,1800,1880,1807,198
792,894,1856,777,1792,1872,1807,198
821,894,1791,767,1796,1852,1833,206
817,928,1794,796,1792,1872,1836,215
799,902,1774,796,1792,1868,1801,219
818,914,1809,777,1791,1887,1832,188
811,910,1807,772,1792,1888,1817,176
776,896,1759,776,1806,1839,1838,187
810,847,1771,760,1793,1872,1830,157
805,880,1825,764,1780,1872,1803,198
787,872,1775,749,1793,1872,1821,199
815,880,1787,765,1791,1887,1824,199
793,880,1791,751,1780,1872,1833,204
807,900,1764,786,1804,1892,1813,179
792,894,1794,744,1789,1904,1832,215
803,876,1820,735,1783,1856,1811,200
785,866,1808,735,1780,1844,1835,206
777,854,1791,735,1792,1872,1807,202
775,850,1809,735,1776,1852,1823,202
779,856,1791,733,1782,1854,1801,191
761,856,1791,735,1780,1872,1807,198
784,856,1787,740,1792,1896,1801,194
773,856,1856,735,1792,1872,1817,199
771,875,1809,735,1790,1873,1835,186
800,843,1811,727,1792,1872,1807,198
763,848,1809,735,1792,1844,1837,206
768,848,1825,732,1780,1872,1821,199
743,894,1802,760,1792,1866,1839,197
784,843,1787,736,1792,1876,1801,196
788,835,1795,725,1792,1855,1821,198
765,867,1792,730,1824,1855,1838,203
719,857,1756,748,1779,1856,1838,193
753,832,1791,717,1796,1876,1823,198
752,860,1803,724,1792,1896,1817,174
751,834,1785,717,1790,1885,1833,204
766,827,1856,717,1792,1872,1807,198
735,818,1809,719,1782,1851,1833,204
740,838,1794,732,1792,1872,1805,182
735,818,1785,713,1782,1886,1823,206
733,811,1739,712,1792,1888,1801,196
729,816,1811,715,1792,1872,1807,199
729,838,1794,728,1792,1872,1836,215
711,832,1827,697,1798,1848,1839,192
720,832,1795,704,1792,1896,1831,181
720,830,1794,716,1792,1848,1836,206
707,832,1825,699,1782,1845,1835,185
720,815,1856,689,1796,1872,1832,182
697,824,1864,687,1792,1872,1825,181
707,829,1755,704,1792,1888,1832,181
705,830,1794,720,1792,1844,1799,187
693,789,1811,692,1808,1872,1791,199
709,786,1856,685,1792,1872,1821,199
673,822,1802,704,1792,1872,1827,187
664,792,1864,684,1792,1872,1815,198
699,787,1803,684,1804,1872,1801,198
703,784,1801,669,1791,1885,1832,200
705,799,1796,694,1824,1886,1820,179
669,806,1802,700,1792,1872,1793,215
704,797,1783,682,1,1824,736,1816
688,800,1802,676,1792,1840,1795,182
685,771,1795,669,1800,1855,1821,198
693,776,1824,678,1796,1855,1803,191
659,804,1817,653,1792,1862,1848,208
685,775,1825,676,1792,1872,1803,199
688,804,1806,684,1792,1840,1832,178
667,804,1819,645,1792,1880,1821,148
692,784,1809,671,1780,1852,1835,204
657,784,1856,677,1792,1824,736,1816
720,801,1803,716,1796,1896,1803,191
695,832,1848,715,1782,1887,1838,192
704,825,1824,736,1800,1888,1842,199
687,831,1803,712,1796,1880,1832,176
691,832,1841,709,1782,1873,1835,188
687,833,1835,712,1796,1855,1825,181
656,828,1867,701,1792,1872,1832,182
702,791,1827,695,1808,1880,1821,198
684,804,1827,698,1806,1870,1831,185
704,801,1824,722,1805,1892,1823,187
696,822,1826,728,1792,1872,1836,219
707,818,1819,729,1792,1863,1785,168
736,823,1867,702,1783,1856,1833,196
701,808,1839,708,1792,1888,1807,195
720,824,1839,707,1782,1848,1824,216
694,801,1831,708,1798,1872,1811,189
693,800,1841,707,1782,1872,1823,204
705,790,1856,704,1788,1872,1821,200
669,840,1775,710,1810,1920,1831,200
695,822,1849,707,1780,1844,1835,192
687,844,1819,711,1801,1856,1848,224
700,800,1841,711,1780,1852,1823,204
712,829,1831,708,1808,1880,1832,199
685,802,1857,701,1792,1872,1821,166
691,836,1847,704,1794,1848,1856,188
736,828,1859,702,1783,1856,1833,196
736,820,1859,702,1791,1856,1825,196
691,802,1823,721,1792,1863,1837,215
689,806,1858,720,1792,1842,1801,166
675,854,1856,720,1792,1872,1857,188
695,790,1843,697,1798,1851,1807,203
697,800,1843,706,1792,1878,1807,199
728,801,1859,695,1796,1847,1807,198
735,830,1834,728,1792,1866,1807,215
699,800,1843,706,1792,1872,1839,206
683,822,1851,705,1794,1851,1839,192
712,800,1859,695,1796,1855,1821,198
697,795,1857,704,1796,1872,1801,196
697,800,1871,700,1792,1872,1807,198
720,791,1827,701,1796,1872,1821,198
689,790,1843,687,1792,1849,1807,199
688,788,1843,685,1798,1872,1807,191
688,794,1859,700,1792,1872,1807,198
673,792,1859,700,1792,1872,1821,198
692,794,1841,707,1782,1876,1823,202
720,795,1857,695,1792,1872,1821,198
689,819,1818,728,1792,1872,1836,224
693,800,1849,707,1778,1848,1833,206
704,786,1856,688,1776,1904,1807,180
705,802,1859,701,1792,1872,1813,199
681,800,1867,701,1792,1888,1801,194
656,794,1859,693,1792,1872,1807,198
697,822,1826,720,1792,1872,1807,203
693,814,1858,688,1788,1904,1817,180
671,832,1822,739,1795,1856,1831,187
736,802,1827,695,1800,1880,1821,198
703,795,1833,705,1791,1904,1823,206
703,826,1831,706,1811,1832,1812,190
731,780,1851,659,1801,1856,1833,166
704,790,1843,706,1792,1872,1807,194
696,791,1859,693,1800,1872,1821,199
688,791,1859,693,1796,1872,1821,198
671,788,1831,704,1808,1880,1821,198
689,790,1847,685,1796,1855,1823,199
671,784,182699,854,1858,728,1775,1856
