"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
9.2,3.7,0.5,-1.9,-1.7,3.2,-63.5,-46.8,-27.4
9.2,3.8,0.5,-1,-1.3,3.8,-64,-46.4,-26.2
9.2,3.8,0.5,-0.2,-0.7,4.5,-64,-46.4,-26.2
9.1,3.9,0.6,0.3,-0.1,5.1,-64,-46.4,-27.4
9,3.9,0.6,-0.1,-0.5,4.8,-64,-46.4,-27.4
9.1,3.9,0.6,-0.4,-0.5,4.8,-63.5,-46.1,-26.9
9,3.9,0.7,-0.1,0.4,4.5,-63.5,-46.1,-26.9
9.1,4,0.6,-0.2,0.2,4.2,-64,-45.7,-28.5
9.2,4,0.6,-0.2,1,3.8,-64,-45.7,-28.5
9.2,4,0.6,1.4,1.8,3.5,-64.2,-46.2,-27.4
9.1,4,0.6,2.8,2.3,3,-64.2,-46.2,-27.4
9,3.9,0.5,3.1,2.8,3,-64.7,-45.8,-25.7
9.1,4,0.6,3.9,3.4,2.5,-64.7,-45.8,-25.7
9,4,0.5,3.1,3.1,2,-64.2,-45.7,-26.5
9.1,3.9,0.5,3.1,3.1,1.8,-64.2,-45.7,-26.5
9.1,3.9,0.4,3.6,2.9,1.6,-64.2,-46.1,-26.5
9.1,3.9,0.4,4.1,2.9,1.4,-64.2,-46.1,-26.5
9.1,4,0.4,3.8,1.5,0.8,-64.7,-46.1,-26.5
9.1,3.9,0.4,3.6,1.1,-0.1,-64.7,-46.1,-26.5
9.1,3.9,0.4,4,0.4,-0.4,-63.9,-44.9,-28.1
9.1,3.9,0.3,4.7,-0.1,-0.4,-63.9,-44.9,-28.1
9.1,3.9,0.4,5.5,0.1,-0.2,-64.7,-44.9,-26.9
9,3.9,0.4,5.5,-0.2,0.1,-64.7,-44.9,-26.9
9,3.9,0.4,4.9,-1.4,0.1,-63.5,-45.2,-26.5
9.1,3.9,0.4,4.6,-1.7,0.2,-63.5,-45.2,-26.5
9.1,3.9,0.4,5.3,-1.6,0.1,-64.7,-46.1,-26.5
